"GameID","GameDate","NumberOfInjuries","SQRTNumberOfInjuries","Week","RestDays","RushYards","PassYards","TotalYards","PointsScored","PercentYardsRush","Surface","CategoriesRestDays"
2023111600,"2023-11-16",4,2,11,8,293,384,677,54,0.432791728212703,"Grass","Short"
2023111900,"2023-11-19",3,1.73205080756888,11,17,217,281,498,43,0.43574297188755,"Turf","Long"
2023111901,"2023-11-19",3,1.73205080756888,11,14,268,240,508,23,0.52755905511811,"Grass","Normal"
2023111902,"2023-11-19",6,2.44948974278318,11,17,298,374,672,57,0.443452380952381,"Turf","Long"
2023111903,"2023-11-19",7,2.64575131106459,11,14,252,539,791,43,0.31858407079646,"Grass","Normal"
2023111904,"2023-11-19",3,1.73205080756888,11,14,234,504,738,37,0.317073170731707,"Turf","Normal"
2023111905,"2023-11-19",0,0,11,14,220,404,624,48,0.352564102564103,"Grass","Normal"
2023111906,"2023-11-19",3,1.73205080756888,11,21,135,583,718,33,0.188022284122563,"Grass","Long"
2023111907,"2023-11-19",3,1.73205080756888,11,14,265,431,696,50,0.380747126436782,"Grass","Normal"
2023111908,"2023-11-19",5,2.23606797749979,11,14,181,526,707,41,0.256011315417256,"Grass","Normal"
2023111909,"2023-11-19",5,2.23606797749979,11,13,193,355,548,38,0.352189781021898,"Turf","Normal"
2023111910,"2023-11-19",1,1,11,21,150,408,558,33,0.268817204301075,"Turf","Long"
2023111911,"2023-11-19",1,1,11,13,221,459,680,41,0.325,"Grass","Normal"
2023112000,"2023-11-20",1,1,11,30,282,292,574,38,0.491289198606272,"Grass","Long"
2023112300,"2023-11-23",3,1.73205080756888,12,8,249,592,841,51,0.296076099881094,"Turf","Short"
2023112301,"2023-11-23",2,1.4142135623731,12,8,208,599,807,55,0.257744733581165,"Turf","Short"
2023112302,"2023-11-23",2,1.4142135623731,12,8,257,340,597,44,0.430485762144054,"Turf","Short"
2023112400,"2023-11-24",2,1.4142135623731,12,10,196,358,554,47,0.353790613718412,"Turf","Short"
2023112600,"2023-11-26",9,3,12,28,376,464,840,39,0.447619047619048,"Turf","Long"
2023112601,"2023-11-26",2,1.4142135623731,12,17,178,465,643,26,0.276827371695179,"Turf","Long"
2023112602,"2023-11-26",3,1.73205080756888,12,14,172,625,797,45,0.215809284818068,"Turf","Normal"
2023112603,"2023-11-26",3,1.73205080756888,12,21,280,412,692,47,0.404624277456647,"Turf","Long"
2023112604,"2023-11-26",3,1.73205080756888,12,21,205,298,503,17,0.407554671968191,"Turf","Long"
2023112605,"2023-11-26",5,2.23606797749979,12,14,176,346,522,27,0.337164750957854,"Turf","Normal"
2023112606,"2023-11-26",1,1,12,14,301,448,749,51,0.401869158878505,"Grass","Normal"
2023112607,"2023-11-26",3,1.73205080756888,12,14,276,287,563,41,0.490230905861456,"Grass","Normal"
2023112608,"2023-11-26",1,1,12,13,192,526,718,48,0.267409470752089,"Grass","Normal"
2023112609,"2023-11-26",4,2,12,13,358,525,883,71,0.405436013590034,"Grass","Normal"
2023112610,"2023-11-26",3,1.73205080756888,12,17,283,357,640,30,0.4421875,"Turf","Long"
2023112700,"2023-11-27",5,2.23606797749979,12,16,191,368,559,22,0.341681574239714,"Turf","Normal"
2023113000,"2023-11-30",3,1.73205080756888,13,14,208,609,817,76,0.254589963280294,"Turf","Normal"
2023120300,"2023-12-03",3,1.73205080756888,13,14,177,321,498,6,0.355421686746988,"Turf","Normal"
2023120301,"2023-12-03",8,2.82842712474619,13,17,255,454,709,61,0.35966149506347,"Turf","Long"
2023120302,"2023-12-03",5,2.23606797749979,13,16,152,301,453,21,0.335540838852097,"Turf","Normal"
2023120303,"2023-12-03",6,2.44948974278318,13,14,280,319,599,34,0.467445742904841,"Grass","Normal"
2023120304,"2023-12-03",4,2,13,14,261,343,604,39,0.432119205298013,"Turf","Normal"
2023120305,"2023-12-03",7,2.64575131106459,13,14,232,504,736,59,0.315217391304348,"Turf","Normal"
2023120306,"2023-12-03",1,1,13,19,261,390,651,60,0.400921658986175,"Grass","Long"
2023120307,"2023-12-03",6,2.44948974278318,13,14,207,428,635,39,0.325984251968504,"Turf","Normal"
2023120308,"2023-12-03",2,1.4142135623731,13,14,207,519,726,55,0.285123966942149,"Turf","Normal"
2023120309,"2023-12-03",1,1,13,17,192,597,789,61,0.243346007604563,"Grass","Long"
2023120310,"2023-12-03",6,2.44948974278318,13,17,277,442,719,46,0.385257301808067,"Grass","Long"
2023120400,"2023-12-04",3,1.73205080756888,13,16,227,640,867,65,0.261822376009227,"Grass","Normal"
2023120700,"2023-12-07",3,1.73205080756888,14,8,163,404,567,39,0.287477954144621,"Grass","Short"
2023121000,"2023-12-10",4,2,14,14,244,480,724,54,0.337016574585635,"Turf","Normal"
2023121001,"2023-12-10",5,2.23606797749979,14,21,267,592,859,68,0.310826542491269,"Grass","Long"
2023121002,"2023-12-10",5,2.23606797749979,14,20,282,321,603,41,0.467661691542289,"Grass","Long"
2023121003,"2023-12-10",2,1.4142135623731,14,13,157,500,657,48,0.23896499238965,"Turf","Normal"
2023121004,"2023-12-10",8,2.82842712474619,14,13,140,542,682,58,0.205278592375367,"Grass","Normal"
2023121005,"2023-12-10",4,2,14,14,301,209,510,34,0.590196078431373,"Turf","Normal"
2023121006,"2023-12-10",3,1.73205080756888,14,14,160,322,482,36,0.33195020746888,"Turf","Normal"
2023121007,"2023-12-10",10,3.16227766016838,14,27,188,245,433,3,0.434180138568129,"Grass","Long"
2023121008,"2023-12-10",2,1.4142135623731,14,17,243,608,851,44,0.285546415981199,"Grass","Long"
2023121009,"2023-12-10",5,2.23606797749979,14,21,200,473,673,37,0.297176820208024,"Grass","Long"
2023121010,"2023-12-10",4,2,14,14,182,423,605,31,0.300826446280992,"Turf","Normal"
2023121011,"2023-12-10",4,2,14,17,244,474,718,46,0.33983286908078,"Turf","Long"
2023121100,"2023-12-11",8,2.82842712474619,14,16,241,528,769,55,0.313394018205462,"Grass","Normal"
2023121101,"2023-12-11",2,1.4142135623731,14,23,332,361,693,46,0.479076479076479,"Turf","Long"
